provincia,cantón,cargo,gana,partido_num,partido
Napo,Napo,Prefectura,Edison Chávez,18,Pachakutik
Napo,Tena,Alcaldía,Carlos Guevara,3,Partido Sociedad Patriótica
Napo,Archidona,Alcaldía,Andrés Bonilla,11-35-62,Justicia Social - Alianza PAIS - Sumak Yuyay
Napo,Carlos Julio Arosemena Tola,Alcaldía,Isaias Pasochoa Gualli,20-35-61-62,Democracia Si - Alianza PAIS - Antisuyo USHITO - Sumak Yuyay
Napo,El Chaco,Alcaldía,Javier Chavez,103-18-2-4,Minga por el Progreso - Pachakutik - Unidad Popular - Ecuatoriano Unido
Napo,Quijos (Baeza),Alcaldía,Franklin Rosero,18-4,Pachakutik - Ecuatoriano Unido
Orellana,Orellana,Prefectura,Magali Orellana,2-3-35-61,Unidad Popular - Partido Sociedad PatrioticaAlianza PAIS - Orellanense en Acción
Orellana,Orellana (Puerto Francisco de Orellana),Alcaldía,Ricardo Ramírez,2-3-35-61,Unidad Popular - Partido Sociedad PatrioticaAlianza PAIS - Orellanense en Acción
Orellana,Aguarico (Tiputini / Nuevo Rocafuerte),Alcaldía,Juan Carlos Orellana,18,Pachakutik
Orellana,La Joya de los Sachas,Alcaldía,Luis Cordones,2-3-35-61,Unidad Popular - Partido Sociedad PatrioticaAlianza PAIS - Orellanense en Acción
Orellana,Loreto,Alcaldía,René Grefa,62-8-17,Movimiento del Pueblo - Avanza - Partido Socialista Ecuatoriano
Pastaza,Pastaza,Prefectura,Jaime Guevara,61-6,Unidos por Pastaza - Partido Social Cristiano
Pastaza,Pastaza (Puyo),Alcaldía,Oswaldo Zuñiga,33-18-2-3,Juntos Podemos - Pachakutik - Unidad Popular - Partido Sociedad Patriótica
Pastaza,Arajuno,Alcaldía,César Grefa,35-23,Alianza PAIS - Movimiento SUMA
Pastaza,Mera,Alcaldía,Guidmon Tamayo Amores,33,Juntos Podemos
Pastaza,Santa Clara,Alcaldía,Jervis Arboleda,61-6,Unidos por Pastaza - Partido Social Cristiano
Pichincha,Pichincha,Prefectura,Paola Pabón,5,Fuerza Compromiso Social
Pichincha,Alcaldía Metropolitana de Quito,Alcaldía,Jorge Yunda,19,Unión Ecuatoriana
Pichincha,Cayambe,Alcaldía,Guillermo Churuchumbi,18,Pachakutik
Pichincha,Mejía (Machachi),Alcaldía,Roberto Hidalgo,19,Unión Ecuatoriana
Pichincha,Pedro Moncayo (Tabacundo),Alcaldía,Virgilio Andrango,104-51,Bandola Vive - Concertacion
Pichincha,Pedro Vicente Maldonado,Alcaldía,Fabrisio Ambuludi Bustamante,8,Avanza
Pichincha,Puerto Quito,Alcaldía,Tito Aguirre Jumbo,6,Partido Social Cristiano
Pichincha,Rumiñahui (Sangolquí),Alcaldía,Wilfrido Carrera Díaz,21-65,Movimiento CREO - Ahora
Pichincha,San Miguel de los Bancos,Alcaldía,Marco Calle,21-106,Movimiento CREO - Ciudadanos Activos
Santa Elena,Santa Elena,Prefectura,Jose Daniel Villao,61-6,Movimiento Creyendo en Nuestra Gente - Partido Social Cristiano
Santa Elena,Santa Elena,Alcaldía,Otto Vera,61-6,Movimiento Creyendo en Nuestra Gente - Partido Social Cristiano
Santa Elena,Salinas,Alcaldía,Daniel Cisneros,61-6,Movimiento Creyendo en Nuestra Gente - Partido Social Cristiano
Santa Elena,La Libertad,Alcaldía,Victor Valdivieso Córdova,62-20,Movimiento Frente de Lucha Ciudadana - Democracia Si
Santo Domingo de los Tsáchilas,Santo Domingo de los Tsáchilas,Prefectura,Johana Núñez,20-100,Movimiento Democracia Si - Construir
