provincia,canton,pobtot,otra,blanca,indígena,mestiza,montubia,mulata,afroec,rural,escolaridad,analf,NBI,agua,elec,basura,pea,ocupada,publico,provincia_elec,canton_elec,cargo,gana,partido_num,partido
ESMERALDAS,LA CONCORDIA,42924,0.267915385332215,8.54300624359333,0.454291305563321,72.9149193924145,3.89292703382723,3.55046128040257,10.3764793588668,32.43173981921535,7.7185291309,10.072601936,86.999251217,20.193209529,93.012567998,78.803226412,16657,15803,1167,Santo Domingo de los Tsáchilas,La Concordia,Alcaldía,David Álava,63-6,Positivo - Partido Social Cristiano
SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO,368013,0.269283965512088,6.82258507172301,1.7167871787138,81.039256765386,2.45860879914568,2.21649778676297,5.47698043275645,26.395263210810487,8.6263521939,6.3030760521,74.364344383,36.093296321,96.188166725,81.447092733,150151,142699,12033,Santo Domingo de los Tsáchilas,Santo Domingo de los Colorados,Alcaldía,Wilson Erazo,20-100,Movimiento Democracia Si - Construir
SUCUMBÍOS,CASCALES,11104,0,2.35050432276657,31.060878962536002,64.5623198847262,0.495317002881844,0.657420749279539,0.792507204610951,81.17795389048992,8.1518564873,8.143767061,84.787595192,26.535626536,75.225225225,52.497952498,4093,3979,687,Sucumbíos,Cascales,Alcaldía,Silvio Quevedo,23,Movimiento SUMA
SUCUMBÍOS,CUYABENO,7133,0.112154773587551,2.03280527127436,14.4399270993972,79.0971540726202,1.73839899060704,0.953315575494182,1.62624421701949,82.05523622599186,7.6547619048,8.5177733065,94.461491255,7.5324675325,80.974025974,47.467532468,2894,2808,314,Sucumbíos,Cuyabeno (Tarapoa),Alcaldía,Nelson Yaguachi,20,Democracia Si
SUCUMBÍOS,GONZALO PIZARRO,8599,0.348877776485638,2.84916850796604,26.2007210140714,66.5891382718921,0.697755552971276,1.53506221653681,1.77927666007675,76.66007675311083,8.4080901178,6.3432835821,81.020482366,31.731731732,87.537537538,63.413413413,3507,3350,736,Sucumbíos,Gonzalo Pizarro (Lumbaquí),Alcaldía,Segundo Jaramillo,3,Partido Sociedad Patriótica
SUCUMBÍOS,LAGO AGRIO,91744,0.223447854900593,5.45321764911057,9.09051273107778,78.1838594349494,0.933031042901988,2.4121468433903,3.70378444366934,47.06792814788978,8.8043950317,6.0493974466,86.886020843,21.626209472,88.56730605999999,70.845357325,37575,35636,5505,Sucumbíos,Lago Agrio (Nueva Loja),Alcaldía,Abraham Freire Paz,23,Movimiento SUMA - Acuerdo Ciudadano
SUCUMBÍOS,PUTUMAYO,10174,0.167092588952231,4.92431688618046,25.9091802634166,64.0062905445253,0.530764694318852,1.6414389620601502,2.82091606054649,78.40574012187929,7.1498839907,9.7460422164,91.550613178,16.40163562,75.329395729,37.028623353,3994,3790,749,Sucumbíos,Putumayo (Puerto El Carmen),Alcaldía,Segundo Londoño Flores,61,Mushuk Inti
SUCUMBÍOS,SHUSHUFINDI,44328,0.263941526800217,4.03356794802382,13.3640137159358,73.0757083558924,1.14600252661974,2.52210792275763,5.5946580039704,63.10458401010648,8.1571590091,7.1178611422,87.648009891,23.808587993,86.646359438,56.578559497,18087,17469,2462,Sucumbíos,Shushufindi (Shushufindi Central),Alcaldía,Esperanza Torres,23,Movimiento SUMA
SUCUMBÍOS,SUCUMBÍOS,3390,0,2.12389380530973,1.53392330383481,93.8938053097345,0.737463126843658,0.884955752212389,0.825958702064897,83.80530973451327,7.7956989247,7.637017071,78.824571766,33.837209302,91.860465116,75.23255814,1340,1306,294,Sucumbíos,Sucumbíos (La Bonita),Alcaldía,Henry Mejia,35-61,Alianza PAIS - Mushuk Inti
TUNGURAHUA,AMBATO,329856,0.166436263096624,4.02630238649593,15.7056412495149,77.8821667636787,0.536900950717889,0.53144402405898294,1.15110836243694,49.922087213814514,9.3497223546,6.9758492513,49.513539288,62.778642364,97.452892506,79.316367545,161240,156725,14625,Tungurahua,Ambato,Alcaldía,Javier Altamirano,12-63,Izquierda Democrática - Solidariamente
TUNGURAHUA,BAÑOS DE AGUA SANTA,20018,0.224797682086122,4.40103906484164,1.93326006594065,91.2528724148267,0.46458187631132,0.574482965331202,1.1489659306624,35.083424917574185,9.335572843,3.7416359416000002,44.555423982,67.035670357,98.27798278,85.802143736,9830,9607,1257,Tungurahua,Baños,Alcaldía,Luis Silva Luna,8,Avanza
TUNGURAHUA,CEVALLOS,8163,0,2.4500796275879,1.6905549430356501,94.940585569031,0.147004777655274,0.24500796275879,0.4655151292417,69.36175425701336,8.3483588621,4.1834002677,55.58288244,54.786060873,97.882664314,74.85663873,3771,3704,181,Tungurahua,Cevallos,Alcaldía,Luis Barona Ledesma,21-62,Movimiento CREO - Movimiento Cívico por Ambato y Tungurahua
